company,name,number_votes,rating
Christian Dior,Dior Homme 2020,1402.0,3.42
Giorgio Armani,Acqua di Giò Profondo,869.0,4.03
Jean Paul Gaultier,Le Male Le Parfum,690.0,4.26
Tom Ford,Beau De Jour Eau de Parfum,729.0,4.25
Guerlain,L'Homme Idéal Extrême,434.0,4.38
Paco Rabanne,1 Million Parfum,561.0,3.9
Cartier,Pasha de Cartier Parfum,339.0,4.44
Versace,Eros Eau De Parfum,266.0,4.18
Amouage,Interlude Black Iris Man,332.0,4.22
Guerlain,L’Homme Ideal Eau de Parfum,2956.0,4.37
Paco Rabanne,1 Million Lucky,1584.0,4.22
Yves Saint Laurent,Y Eau de Parfum,2485.0,4.18
Christian Dior,Sauvage Eau de Parfum,2841.0,4.03
Azzaro,Wanted by Night,1676.0,4.21
Chanel,Bleu de Chanel Parfum,1881.0,4.15
Givenchy,Gentleman Eau de Parfum,1464.0,4.21
Versace,Eros Flame,1310.0,3.79
Rochas,Moustache Eau de Parfum,865.0,4.44
Prada,Luna Rossa Black,1201.0,4.27
Zara,Vibrant Leather Eau de Parfum,1170.0,4.33
Salvatore Ferragamo,Uomo Salvatore Ferragamo Signature ,722.0,4.36
Rihanna,Rogue Man,249.0,4.14
Amouage,Beach Hut Man,926.0,4.21
Franck Olivier,Oud Touch,456.0,4.13
Carolina Herrera,Bad Boy Le Parfum,21.0,3.05
Parfums de Marly,Herod,3544.0,4.49
Dolce&Gabbana,Light Blue Eau Intense Pour Homme,2083.0,4.17
Gucci,Gucci Guilty Absolute,2893.0,4.01
Prada,Luna Rossa Carbon,1929.0,4.27
Giorgio Armani,Emporio Armani Stronger With You,2359.0,4.01
John Varvatos,Artisan Pure,1562.0,4.28
Prada,Prada L'Homme Intense,1449.0,4.44
Roja Dove,Elysium Pour Homme Parfum Cologne,1048.0,4.33
Carolina Herrera,Bad Boy,742.0,3.27
Hugo Boss,Boss Soul,717.0,3.91
Dolce&Gabbana,Light Blue pour Homme,3457.0,3.9
Armaf,Club de Nuit Intense Man,5084.0,4.26
Montblanc,Explorer,2442.0,4.19
Moschino,Toy Boy,1551.0,4.1
Giorgio Armani,Armani Code Absolu,1360.0,4.32
Giorgio Armani,Emporio Armani Stronger With You Intensely ,984.0,4.12
Bentley,Bentley for Men Intense,3588.0,4.21
Maison Martin Margiela,Jazz Club,2539.0,4.22
Paco Rabanne,Invictus,5354.0,3.58
Lalique,Encre Noire Sport,2622.0,4.25
Christian Dior,Dior Homme Cologne 2013,4184.0,4.42
Versace,Versace Pour Homme Oud Noir,1438.0,4.22
Roja Dove,Enigma Pour Homme,1054.0,4.61
Christian Dior,Sauvage ,10376.0,3.89
Giorgio Armani,Acqua di Giò Profumo,6060.0,4.33
Dolce&Gabbana,The One for Men Eau de Parfum,4669.0,4.52
Jean Paul Gaultier,Ultra Male,4248.0,4.27
Viktor&Rolf,Spicebomb Extreme,2358.0,4.48
Tom Ford,Noir Extreme,3561.0,4.42
Lalique,Encre Noire A L'Extreme,2567.0,4.34
Carolina Herrera,CH Men Prive,3523.0,4.27
Guerlain,L’Homme Ideal Cologne,2935.0,4.3
Alfred Dunhill,Icon,2104.0,4.22
John Varvatos,Dark Rebel ,1318.0,4.35
Chanel,Antaeus,3856.0,4.27
Prada,Prada L'Homme,4297.0,4.36
Versace,Versace Pour Homme Dylan Blue,4721.0,4.03
Knize,Knize Ten,902.0,4.22
Jardin de France,Eau givree,1.0,4.0
Jardin de France,Eau boisee,,
The Crown Perfumery Co.,Crown Spiced Limes,13.0,4.46
Panama 1924,Panama,62.0,4.24
Panama 1924,Panama Millesime,37.0,4.05
Montblanc,Individuel,4974.0,4.08
Chanel,Allure Homme Sport,8472.0,4.26
Giorgio Armani,Armani Code,7042.0,4.18
Issey Miyake,L'Eau Bleue d'Issey Pour Homme,2157.0,4.17
John Varvatos,John Varvatos,1826.0,4.23
Guerlain,L'Instant de Guerlain pour Homme,3313.0,4.3
Burberry,Burberry Brit for Men,2585.0,3.969999999999999
Comme des Garcons,Comme des Garcons 2 Man,2011.0,4.29
Jacques Bogart,Bogart Pour Homme,1176.0,4.08
Nasomatto,Pardon,1701.0,4.34
Zara,Warm Black,301.0,4.3
Bvlgari,Aqva Pour Homme,5666.0,4.14
Versace,Versace Pour Homme,8242.0,4.29
Paco Rabanne,1 Million,11537.0,3.7
Dolce&Gabbana,The One for Men,8750.0,4.27
Amouage,Jubilation XXV Man,3792.0,4.46
Chanel,Allure Homme Edition Blanche,4833.0,4.41
Amouage,Amouage Lyric Man,2315.0,4.2
Bvlgari,Aqva Pour Homme Marine,2783.0,4.06
Lalique,Lalique White,2136.0,4.13
Yves Saint Laurent,La Nuit de l'Homme,12256.0,4.44
Mugler,A*Men Pure Malt,5513.0,4.46
Tom Ford,Grey Vetiver,4675.0,4.31
Salvatore Ferragamo,F by Ferragamo Black,2684.0,4.08
Hermès,Terre d'Hermes Parfum,3901.0,4.4
Creed,Aventus,10486.0,4.42
Chanel,Bleu de Chanel,11459.0,4.13
Versace,The Dreamer,659.0,4.15
Acqua di Parma,Essenza di Colonia,1775.0,4.36
Amouage,Memoir Man,2394.0,4.33
Van Cleef & Arpels,Midnight in Paris,4317.0,4.26
Parfums de Marly,Godolphin,1145.0,4.29
Christian Dior,Dior Homme Intense 2011,8172.0,4.49
Mugler,A*Men Pure Havane,5665.0,4.46
Christian Dior,Dior Homme,5088.0,4.41
Parfums de Marly,Pegasus,1811.0,4.18
Calvin Klein,CK One Shock For Him,3853.0,4.08
Montblanc,Legend,3327.0,3.969999999999999
Lacoste Fragrances,Eau de Lacoste L.12.12. White,2436.0,4.03
Carolina Herrera,212 VIP Men,3143.0,4.14
Prada,Luna Rossa Sport,1128.0,4.16
Brut Parfums Prestige,Brut,675.0,4.04
Rasasi,Faqat Lil Rijal,358.0,4.2
Xerjoff,Nio,925.0,4.48
Guerlain,Derby,389.0,4.38
