company,name,rating,number_votes
Giorgio Armani,My Way,3.5700000000000003,1471.0
Yves Saint Laurent,Libre Intense,4.02,858.0
Mugler,Angel Nova,3.54,814.0
Givenchy,L'Interdit Eau de Parfum Intense,4.08,596.0
Narciso Rodriguez,Narciso Eau de Parfum Ambrée,3.84,750.0
Lancome,La Nuit Tresor Nude,4.05,583.0
Dolce&Gabbana,The Only One Eau de Parfum Intense,4.12,562.0
Lancome,La Vie Est Belle Intensément,4.04,693.0
Christian Dior,Miss Dior Rose N'Roses,3.59,905.0
Valentino,Voce Viva,3.38,666.0
Givenchy,Irresistible Givenchy,3.59,651.0
Jean Paul Gaultier,So Scandal!,3.88,415.0
Lancome,Idôle L'Intense,3.79,408.0
Chloé,Nomade Absolu de Parfum,4.01,466.0
Christian Dior,J'Adore Infinissime,3.85,380.0
Mugler,Angel Eau Croisière 2020,4.22,375.0
Ariana Grande,R.E.M.,3.87,348.0
Teo Cabanel,Alahine,4.04,526.0
Christian Dior,Poison,3.95,11866.0
Kate Spade,Kate Spade New York,3.88,40.0
Rasasi,La Yuqawam Jasmine Wisp,4.2,177.0
Burberry,Burberry Her Intense,3.85,607.0
Britney Spears,Midnight Fantasy,3.969999999999999,7337.0
Police,Shock-In-Scent For Women,3.95,77.0
Britney Spears,Fantasy The Nice Remix,4.06,561.0
Ariana Grande,Cloud,4.05,2569.0
Givenchy,L'Interdit Eau de Parfum,3.91,4137.0
Burberry,Burberry Her,3.73,2419.0
Chloé,Nomade,3.87,3573.0
Narciso Rodriguez,Narciso Rouge,4.05,2252.0
Dolce&Gabbana,The Only One,3.93,2105.0
Chanel,Coco Mademoiselle Intense,4.3,2412.0
Lancome,La Nuit Trésor à la Folie,4.21,1892.0
Parfums de Marly,Delina Exclusif,4.24,932.0
Paco Rabanne,Pure XS For Her,3.8,1748.0
Jean Paul Gaultier,Scandal By Night,4.19,1163.0
Hugo Boss,Boss The Scent Private Accord for Her ,4.1,1055.0
Dolce&Gabbana,Dolce Garden,3.969999999999999,1510.0
Christian Dior,Joy by Dior,3.29,3011.0
Calvin Klein,Euphoria Amber Gold,3.89,148.0
Kenzo,Flower by Kenzo Eau de Lumière,4.02,381.0
Boucheron,Boucheron,4.1,2183.0
Guerlain,Mon Guerlain,4.02,8239.0
Parfums de Marly,Delina,4.13,2325.0
Mugler,Aura Mugler,3.63,5716.0
Elie Saab,Girl of Now,4.01,2624.0
Jean Paul Gaultier,Scandal,3.78,3088.0
Gucci,Gucci Bloom,3.77,3783.0
Dolce&Gabbana,Light Blue Eau Intense,4.17,1932.0
Guerlain,Black Perfecto by La Petite Robe Noire,3.95,2271.0
Giorgio Armani,Sì Passione,3.75,2306.0
Hermès,Twilly d’Hermès,3.67,3445.0
Narciso Rodriguez,Fleur Musc for Her,3.99,2712.0
Chanel,Gabrielle,3.58,4859.0
Versace,Versace Pour Femme Dylan Blue,3.6,1951.0
Christian Dior,Miss Dior Eau de Parfum (2017),3.9,1902.0
Guerlain,Insolence Eau de Parfum,4.17,466.0
Lancome,La Vie est Belle L'Éclat,3.88,1627.0
Guerlain,L'Heure Bleue Eau de Parfum,4.3,4502.0
Jennifer Lopez,Glow,3.62,4066.0
Chanel,Coco Mademoiselle,4.15,21114.0
Yves Saint Laurent,Libre,3.77,3595.0
Rochas,Secret de Rochas Rose Intense,4.01,151.0
Etat Libre d'Orange,Jasmin et Cigarette,3.78,1467.0
Frederic Malle,En Passant,4.23,1880.0
Lancome,Idôle,3.58,3137.0
Narciso Rodriguez,Pure Musc For Her,4.08,2500.0
Jean Paul Gaultier,La Belle,4.14,1544.0
Guerlain,Mon Guerlain Eau de Parfum Intense,4.26,1097.0
Giorgio Armani,Sì Fiori,4.12,1302.0
Chanel,Gabrielle Essence,4.02,1109.0
Giorgio Armani,Si,3.77,11219.0
Jo Malone London,Peony & Blush Suede,3.99,2185.0
Tom Ford,Plum Japonais,4.36,2234.0
Hermès,Jour d'Hermes,3.98,4366.0
Versace,Bright Crystal Absolu,3.89,2189.0
Dolce&Gabbana,Dolce&Gabbana Pour Femme Intense,4.05,2601.0
Chloé,Chloe Roses De Chloe,4.14,2933.0
Parfums de Marly,Meliora,4.12,930.0
Juicy Couture,Viva La Juicy Noir,4.14,1752.0
Trussardi,My Name,4.05,2726.0
Lalique,Satine,3.83,1988.0
Adam Levine,Adam Levine for Women,3.82,1407.0
Amouage,Fate for Women,4.05,1794.0
Parfums de Marly,Safanad,4.22,671.0
Yves Saint Laurent,Manifesto l'Elixir,4.11,2115.0
Lancome,La Nuit Tresor,4.05,7171.0
Paco Rabanne,Olympéa,3.82,6816.0
Tom Ford,Noir Pour Femme,4.31,4122.0
Marc Jacobs,Decadence,3.69,4524.0
Valentino,Valentino Donna,4.08,2817.0
Chanel,Chanel No 5 Eau Premiere (2015),4.36,2764.0
Nina Ricci,L’Extase,3.75,2651.0
Agent Provocateur,Fatale Intense ,3.969999999999999,1371.0
Ariana Grande,Ari,4.11,1496.0
Avon,HerStory Love Inspires,3.33,3.0
Britney Spears,Fantasy,3.93,9532.0
Paco Rabanne,Olympéa Aqua Eau de Parfum Légère,3.93,455.0
The Master Perfumer,Absolute Iris N°39,3.88,49.0
Lancome,Magie Noire Parfum,4.51,668.0
Anima Vinci,Rose Prana,4.17,18.0
Carolina Herrera,Good Girl,3.77,6703.0
Mugler,Angel Muse,4.11,5545.0
Narciso Rodriguez,Narciso Poudree,4.09,4731.0
Chanel,Les Exclusifs de Chanel Bel Respiro,4.1,651.0
Yardley,Lily of the Valley,3.87,244.0
Severnoye Siyanie,Ellada,4.43,23.0
Girard,Lysval,3.37,52.0
Lubin,Eva,5.0,2.0
Nouvelle Etoile – Новая Заря,Novaya Zarya,3.0,2.0
Nouvelle Etoile – Новая Заря,Sweet Pea Душистый горошек,4.0,1.0
Jardin de France,Eau perlee,4.0,1.0
Jardin de France,Eau nacree,4.0,2.0
Mury Paris,Heliotrope,,
Lubin,Lacdor,,
Chanel,Chanel No 5 Parfum,3.69,12257.0
Chanel,Chanel No 5 Eau de Toilette,3.99,4385.0
Molinard,Habanita,4.13,2217.0
Coty,Emeraude,3.969999999999999,1148.0
Myrurgia,Maja,4.03,457.0
Chanel,Chanel No 5 Eau de Cologne,3.98,767.0
Chanel,Chanel N°5 (Vintage),3.83,137.0
Tosca,Tosca,3.91,212.0
Coty,Emeraude Parfum,4.65,31.0
Guerlain,Guerlinade,4.31,111.0
L.T. Piver,Mismelis,,
Chanel,Chanel N°22,4.26,1208.0
Chanel,Les Exclusifs de Chanel No 22,4.25,967.0
Caron,Nuit de Noel,4.3,687.0
Caron,Nuit de Noel Extrait de Parfum,4.64,132.0
Guerlain,Bouquet de Faunes,4.11,18.0
Guerlain,Candide Effluve,4.42,24.0
Myrurgia,L'Orgie (Orgia),4.24,21.0
Krigler,Sparkling Diamond 22,3.06,18.0
Weil,Padisha,3.0,2.0
Volnay,Mimeomai (Vintage Edition),,
Mury Paris,Civa,,
L.T. Piver,Volt,,
L.T. Piver,Vivitz,,
Paglieri,Felce Azzurra,4.48,66.0
Caron,Narcisse Blanc,3.94,70.0
Caron,Narcisse Blanc Parfum,4.3,20.0
Coty,Paris,4.29,24.0
Roger & Gallet,Le Jade,4.5,2.0
Vigny,Le Chick Chick,4.0,1.0
Mury Paris,Violetera,,
Parfums Ciro,Ptah,,
L.T. Piver,Valée des Rois,,
L.T. Piver,Misti,,
Chanel,Les Exclusifs de Chanel Cuir de Russie 1924,4.25,990.0
Lanvin,Jeanne Lanvin My Sin,4.32,374.0
Corday,Toujours Moi,4.53,140.0
Worth,Dans la Nuit,4.25,129.0
Caron,Acaciosa,4.2,128.0
Caron,Acaciosa Parfum,4.2,15.0
Isabey,Isabey Gardenia,,
Narciso Rodriguez,Narciso Rodriguez For Her,4.07,12986.0
Cacharel,Amor Amor,3.71,9867.0
Chanel,Chance Eau de Toilette,3.92,10597.0
Lacoste Fragrances,Lacoste Pour Femme,4.03,8061.0
Versace,Crystal Noir,3.88,14625.0
Christian Dior,Pure Poison,4.03,11835.0
Aquolina,Pink Sugar,3.75,8478.0
Donna Karan,DKNY Be Delicious,3.54,11247.0
Moschino,Cheap & Chic I Love Love,3.89,9000.0
Yves Saint Laurent,Cinéma,4.08,9093.0
Hermès,Eau des Merveilles,4.09,5697.0
Carolina Herrera,212 Sexy,3.82,5065.0
Avon,Today,3.8,3853.0
Gucci,Gucci Eau de Parfum II,4.11,5069.0
Britney Spears,Curious,3.73,4195.0
Prada,Prada (Amber),3.99,3627.0
Gucci,Envy Me,3.83,3658.0
Giorgio Armani,Armani Mania,4.07,3515.0
Disney,Coco Teenage Girl,2.4,5.0
Kim Kardashian,Kim Kardashian,3.63,1568.0
Britney Spears,Fantasy Intense,4.75,4.0
Il Profvmo,Cortigiana,3.44,63.0
Antonio Banderas,Blue Seduction,3.68,1614.0
Chloé,Love,3.92,6349.0
Mugler,Alien,4.01,19548.0
Viktor&Rolf,Flowerbomb,3.94,11932.0
Calvin Klein,Euphoria,3.85,15835.0
Lancome,Hypnôse,3.84,11730.0
Lalique,Lalique Le Parfum,4.03,4300.0
Bvlgari,Omnia Crystalline,4.01,7314.0
Sarah Jessica Parker,Lovely,3.86,5831.0
Chanel,Chance Eau de Parfum,4.09,3386.0
Chloé,Chloe Eau de Parfum,3.95,13349.0
Juicy Couture,Viva la Juicy,3.99,8147.0
Jessica Simpson,Fancy,4.07,4218.0
Bvlgari,Jasmin Noir,3.969999999999999,6640.0
Tom Ford,White Patchouli,3.82,4239.0
Amouage,Amouage Lyric Woman,4.14,2807.0
Guerlain,Elixir Charnel Gourmand Coquin,4.42,1581.0
Estée Lauder,Sensuous,3.94,5060.0
Juliette Has A Gun,Citizen Queen,4.08,2021.0
Burberry,The Beat,3.94,3983.0
Jo Malone London,Dark Amber & Ginger Lily,4.2,1396.0
John Galliano,John Galliano,4.11,3139.0
Cuba Paris,Cuba Jungle Tiger,3.93,148.0
Narciso Rodriguez,Musc Noir For Her,3.91,108.0
Salvador Dali,Laguna,3.75,4967.0
Tom Ford,White Suede,4.23,2381.0
Estée Lauder,White Linen,3.73,2715.0
Victoria's Secret,Bare Vanilla,4.42,198.0
Dolce&Gabbana,D&G Anthology L'Imperatrice 3,3.8,12420.0
Versace,Versense,3.99,7582.0
Van Cleef & Arpels,Collection Extraordinaire Orchidee Vanille,4.32,2547.0
Yves Saint Laurent,Opium Eau de Parfum 2009,3.95,5279.0
Montale,Roses Musk,3.86,2542.0
Byredo,Blanche,3.79,2159.0
Chanel,Chance Eau Tendre,4.11,12386.0
Frederic Malle,Portrait of a Lady,4.19,3819.0
Giorgio Armani,Acqua di Gioia,3.84,10680.0
Gucci,Gucci Guilty,3.9,7668.0
Paco Rabanne,Lady Million,3.61,10049.0
Juliette Has A Gun,Not A Perfume,3.8,3512.0
Mugler,Womanity,3.6,8844.0
Rihanna,Reb'l Fleur,3.93,3649.0
Jo Malone London,English Pear & Freesia,3.96,2448.0
Amouage,Memoir Woman,4.23,3355.0
Byredo,La Tulipe,4.12,2854.0
Victoria's Secret,Bombshell,4.1,2470.0
Xerjoff,Bouquet Ideale,4.21,1381.0
Lancome,Tresor In Love,3.83,5161.0
Carolina Herrera,212 VIP,3.87,4252.0
Etat Libre d'Orange,Tilda Swinton Like This,4.07,1902.0
Gucci,Flora by Gucci Eau de Parfum,3.91,2956.0
Prada,Prada Candy,3.79,10730.0
Elie Saab,Le Parfum,4.03,6894.0
Jimmy Choo,Jimmy Choo,3.82,6358.0
Lancome,Tresor Midnight Rose,3.96,7931.0
Bottega Veneta,Bottega Veneta,4.18,4949.0
Xerjoff,Lira,4.32,2327.0
Mancera,Roses Vanille,4.08,2349.0
Burberry,Body,3.61,6296.0
Chanel,Chanel No 19 Poudre,4.13,4426.0
Amouage,Honour Woman,4.05,3313.0
Guerlain,Shalimar Parfum Initial,4.05,8524.0
Trussardi,Trussardi Donna (2011),4.01,3954.0
Tom Ford,Jasmin Rouge,4.19,2353.0
Cartier,Baiser Vole,4.03,4352.0
Marc Jacobs,Daisy Eau So Fresh,4.09,4647.0
Jo Malone London,Wild Bluebell,4.05,1895.0
Annick Goutal,Vanille Exquise,3.99,731.0
Christian Dior,Rouge Trafalgar,4.04,215.0
Bath and Body Works,Chocolate Covered Cherry,3.83,6.0
Donna Karan,DKNY Women,3.87,2285.0
Moschino,Toy 2,3.8,940.0
Pascal Morabito,Aimer,3.71,7.0
